         4502012 function calls (4491405 primitive calls) in 32.785 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7515    0.017    0.000    0.026    0.000 _Transform.py:43(__init__)
     7500    0.017    0.000    0.096    0.000 fromnumeric.py:1320(trace)
     7500    0.017    0.000    0.028    0.000 numerictypes.py:964(find_common_type)
     7500    0.017    0.000    0.032    0.000 transformations.py:208(translation_from_matrix)
       17    0.017    0.001    0.017    0.001 {method 'recv' of '_socket.socket' objects}
     7500    0.016    0.000    0.026    0.000 my_ros_independent_class.py:41(insert_marker)
     1094    0.016    0.000    0.016    0.000 {posix.listdir}
    30030    0.016    0.000    0.016    0.000 {method 'ravel' of 'numpy.ndarray' objects}
     7515    0.016    0.000    0.030    0.000 getlimits.py:94(__new__)
     7500    0.015    0.000    0.021    0.000 _multivariate.py:31(_squeeze_output)
     7500    0.014    0.000    0.067    0.000 fromnumeric.py:2180(amax)
    16000    0.014    0.000    0.014    0.000 {method 'normal' of 'mtrand.RandomState' objects}
     7500    0.014    0.000    0.454    0.000 buffer.py:74(lookup_transform)
     7500    0.014    0.000    0.014    0.000 {method 'copy' of 'numpy.ndarray' objects}
     7000    0.014    0.000    0.047    0.000 kalman_filter.py:40(update_position)
     7000    0.013    0.000    0.021    0.000 linalg.py:209(_assertNdSquareness)
   107265    0.013    0.000    0.013    0.000 {method 'append' of 'list' objects}
     7000    0.013    0.000    0.013    0.000 linalg.py:101(get_linalg_error_extobj)
     7523    0.013    0.000    0.093    0.000 rostime.py:80(__init__)
    18365    0.012    0.000    0.015    0.000 sre_parse.py:193(__next)
    15000    0.012    0.000    0.018    0.000 listener.py:44(strip_leading_slash)
     5478    0.012    0.000    0.012    0.000 {posix.stat}
    15000    0.012    0.000    0.069    0.000 _methods.py:31(_sum)
     7500    0.012    0.000    0.020    0.000 type_check.py:237(iscomplexobj)
      657    0.012    0.000    0.048    0.000 sre_compile.py:256(_optimize_charset)
    67045    0.012    0.000    0.012    0.000 {math.sin}
      992    0.011    0.000    0.028    0.000 version.py:198(__init__)
30309/30252    0.011    0.000    0.012    0.000 {issubclass}
     7009    0.011    0.000    0.011    0.000 {method 'astype' of 'numpy.ndarray' objects}
    36116    0.011    0.000    0.011    0.000 {method 'get' of 'dict' objects}
     7500    0.011    0.000    0.226    0.000 listener.py:41(xyzw_to_mat44)
    22531    0.011    0.000    0.011    0.000 {math.sqrt}
    69485    0.011    0.000    0.011    0.000 {setattr}
     7500    0.010    0.000    0.169    0.000 lapack.py:405(get_lapack_funcs)
       48    0.010    0.000    0.119    0.002 rospack.py:45(list_by_path)
     7500    0.010    0.000    0.010    0.000 my_ros_independent_class.py:9(__init__)
     7000    0.010    0.000    0.024    0.000 linalg.py:106(_makearray)
     6743    0.010    0.000    0.010    0.000 {method 'expandtabs' of 'str' objects}
    33465    0.010    0.000    0.010    0.000 {method 'startswith' of 'str' objects}
        1    0.010    0.010    0.199    0.199 sources_list.py:601(create_default)
     7500    0.010    0.000    0.098    0.000 listener.py:38(xyz_to_mat44)
 1734/181    0.010    0.000    0.051    0.000 sre_compile.py:64(_compile)
     7000    0.010    0.000    0.011    0.000 linalg.py:198(_assertRankAtLeast2)
     7587    0.009    0.000    0.081    0.000 rostime.py:292(__init__)
    15000    0.009    0.000    0.011    0.000 numerictypes.py:942(_can_coerce_all)
     6916    0.009    0.000    0.009    0.000 {method 'splitlines' of 'str' objects}
    30360    0.009    0.000    0.009    0.000 {method 'write' of 'cStringIO.StringO' objects}
     7500    0.009    0.000    0.038    0.000 fromnumeric.py:2271(amin)
     1508    0.009    0.000    0.063    0.000 topics.py:119(__init__)
     7513    0.009    0.000    0.067    0.000 {method 'all' of 'numpy.ndarray' objects}
      500    0.008    0.000    0.079    0.000 kalman_filter.py:106(__init__)
    28500    0.008    0.000    0.008    0.000 {method 'item' of 'numpy.ndarray' objects}
3159/1113    0.008    0.000    0.044    0.000 os.py:209(walk)
    11260    0.008    0.000    0.011    0.000 numeric.py:484(asanyarray)
      260    0.008    0.000    0.012    0.000 doccer.py:128(indentcount_lines)
     7000    0.008    0.000    0.016    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
     7581    0.008    0.000    0.041    0.000 rostime.py:127(__init__)
     7489    0.008    0.000    0.010    0.000 posixpath.py:61(join)
     7500    0.007    0.000    0.016    0.000 rostime.py:178(__ne__)
     7500    0.007    0.000    0.009    0.000 rostime.py:440(__eq__)
    14000    0.006    0.000    0.010    0.000 linalg.py:111(isComplexType)
     1563    0.006    0.000    0.006    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        3    0.006    0.002    0.020    0.007 machar.py:116(_do_init)
     7000    0.006    0.000    0.008    0.000 linalg.py:124(_realType)
     7513    0.006    0.000    0.058    0.000 _methods.py:40(_all)
      334    0.006    0.000    0.008    0.000 {method 'read' of '_io.TextIOWrapper' objects}
